child_id,synthetic_nik,synthetic_name,synthetic_parent_name,district_id,district_name,posyandu_name,age_months,gender,height_cm,weight_kg,z_haz_score,z_waz_score,nutrition_status,has_exclusive_breastfeeding,water_source_access
CHD-2026-00001,1271413340533286,Siti Pratama,Kevin Pratama,DIST-21,Medan Area,Posyandu Melati 2,53,M,94.6,20.22,-2.5,-0.03,STUNTED,False,Sumur Terlindung
CHD-2026-00002,1271396299031434,Budi Siregar,Dimas Siregar,DIST-02,Medan Labuhan,Posyandu Melati 7,41,M,90.5,16.6,-1.06,-0.59,POTENTIAL_RISK,False,PDAM
CHD-2026-00003,1271308320527924,Kevin Simanjuntak,Budi Simanjuntak,DIST-19,Medan Baru,Posyandu Melati 3,27,F,88.9,13.58,1.68,-0.16,NORMAL,False,PDAM
CHD-2026-00004,1271224764176635,Siti Siregar,Rian Siregar,DIST-11,Medan Sunggal,Posyandu Melati 1,44,F,91.3,18.58,-1.51,0.53,POTENTIAL_RISK,False,Sumur Terlindung
CHD-2026-00005,1271206788565803,Siti Pasaribu,Rian Pasaribu,DIST-18,Medan Polonia,Posyandu Melati 4,59,F,105.2,22.29,-0.36,0.49,NORMAL,False,Sumur Terlindung
CHD-2026-00006,1271209968654814,Nurul Simanjuntak,Dewi Simanjuntak,DIST-02,Medan Labuhan,Posyandu Melati 5,12,F,73.6,7.45,0.07,-2.32,NORMAL,False,Sumur Terlindung
CHD-2026-00007,1271368027295374,Putri Sitorus,Lestari Sitorus,DIST-12,Medan Helvetia,Posyandu Melati 3,50,M,102.8,19.78,0.94,0.25,NORMAL,False,Sumur Terlindung
CHD-2026-00008,1271447710884598,Putri Ginting,Rian Ginting,DIST-08,Medan Johor,Posyandu Melati 1,49,F,95.6,18.99,-1.23,-0.24,POTENTIAL_RISK,False,PDAM
CHD-2026-00009,1271183212316155,Bayu Sinaga,Kevin Sinaga,DIST-02,Medan Labuhan,Posyandu Melati 7,19,F,75.7,10.37,-0.87,-1.25,NORMAL,False,PDAM
CHD-2026-00010,1271783755048019,Nurul Hutapea,Zahra Hutapea,DIST-05,Medan Tembung,Posyandu Melati 6,43,F,95.5,18.43,0.15,0.62,NORMAL,False,PDAM
CHD-2026-00011,1271162149753504,Galang Ginting,Rizky Ginting,DIST-05,Medan Tembung,Posyandu Melati 7,46,M,94.6,19.05,-0.86,0.5,NORMAL,False,Sumur Terlindung
CHD-2026-00012,1271773636261188,Rian Tambunan,Rafi Tambunan,DIST-13,Medan Barat,Posyandu Melati 5,49,M,100.9,18.77,0.52,-0.43,NORMAL,False,Sumur Terlindung
CHD-2026-00013,1271305757631053,Siti Harahap,Anisa Harahap,DIST-11,Medan Sunggal,Posyandu Melati 3,52,F,100.3,17.93,-0.36,-1.88,NORMAL,False,Sumur Terlindung
CHD-2026-00014,1271873085733504,Dewi Sembiring,Galang Sembiring,DIST-04,Medan Deli,Posyandu Melati 1,29,M,76.8,13.15,-2.83,-1.0,STUNTED,False,Sumur Terlindung
CHD-2026-00015,1271493510831949,Budi Siregar,Lestari Siregar,DIST-16,Medan Kota,Posyandu Melati 2,21,M,75.2,11.61,-1.49,-0.58,POTENTIAL_RISK,False,Air Sungai / Tak Terlindung
